"ProjectID","Address","Project Name","Prior Site Name","Street Number","Street Name","Project Description","Neighborhood","Project Stage","Year Complete","Developer Name","Zoning","Planning Board Special Permit","Building Permit","Total GFA","Lot Area","FAR","Primary Use","Residential Units","Hotel Rooms","Note","Latitude","Longitude","Coordinates"
"604","215 Msgr. O'Brien Highway","Fairfield Inn","","215","Msgr. O'Brien Highway","","1 - East Cambridge","Complete","2015","Pro Con Inc","SD-1","N/A","BLDC-008152-2013","50,368","12,478","4.04","Hotel",,"123"," ","42.3729443633","-71.079677434","POINT (-71.079677434 42.3729443633)"
"619","140 Cambridgepark Drive","140 Cambridgepark Drive","","140","Cambridgepark Drive","456 pkg spaces, 360 replacements at 150 Cambridgepark Dr, 29 for 130 Cambridgepark Dr, 67 shared between bldgs. Bldg has no habitable space & no GFA.","11 - North Cambridge","Complete","2015","The Hanover Company","O-2A/AOD-6","PB279","BLDC-022767-2015","0","125,089",,"Parking Garage","0",,"456 pkg spaces, 360 replacements at 150 Cambridgepark Dr, 29 for 130 Cambridgepark Dr, 67 shared between bldgs. Bldg has no habitable space & no GFA. ","42.3938775463","-71.1462409","POINT (-71.1462408999999 42.3938775462998)"
"628","165 Cambridgepark Drive","Fuse Apartments Phase 1","","165","Cambridgepark Drive","FAR for all project phases.","11 - North Cambridge","Complete","2015","Hines Interests Limited","O-2A/AOD-6","PB272","BLDM-009426-2013","168,000","119,274","2.35","Residential","149",,"FAR for all project phases. ","42.3953600162","-71.147417335","POINT (-71.147417335 42.3953600162)"
"629","35 Cottage Park Avenue","Tyler Green Court Phase 1","","35","Cottage Park Avenue","","11 - North Cambridge","Complete","2015","Tyler Court Limited Partnership","SD-2","PB276","BLDM-020171-2014","70,387","130,079","0.64","Residential","57",," ","42.3984010983","-71.133510933","POINT (-71.1335109329999 42.3984010982999)"
"663","19-21 Wendell Street","Basement Housing","","19-21","Wendell Street","","8 - Baldwin","Complete","2015","Chestnull Hill Realty","C-1/BAOD","PB280","BLDM-013119-2014","6,513","9,742","2.76","Residential","4",," ","42.381906","-71.117798","POINT (-71.1177979999999 42.381906)"
"329","1924 Massachusetts Avenue","Kaya Hotel","","1924","Massachusetts Avenue","Includes restaurant, component GFA unknown. Parking for hotel and restaurant.","11 - North Cambridge","Complete","2016","Kaya-Ka","BC/B/NMAOD","PB237","BLDC-010552-2013","24,162","14,880","1.60","Hotel",,"65","Includes restaurant, component GFA unknown. Parking for hotel and restaurant. ","42.3893555902","-71.120246106","POINT (-71.1202461059999 42.3893555901998)"
"378","610 Main Street","Pfizer Phase 2/North Building","","610","Main Street","FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces allocated to Phase I and 700 Main St.","4 - The Port/Area IV","Complete","2016","MITIMCO","IB","PB238","BLDC-015112-2014","238,264","210,215","2.75","Office/R&D",,,"FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces allocated to Phase I and 700 Main St. ","42.3627081479","-71.094159285","POINT (-71.094159285 42.3627081479)"
"383","10 Acorn Park Drive","Discovery Park - 600 Discovery Park/AC Hotel by Marriott","","10","Acorn Park Drive","FAR for entire Discovery Park development. Parking includes 8 surface spaces dedicated to hotel use. Additional parking allocated from Discovery Park inventory.","11 - North Cambridge","Complete","2016","Bulfinch Company","SD-4","PB198","BLDC-025041-2015","82,340","1,154,420","0.61","Hotel",,"150","FAR for entire Discovery Park development. Parking includes 8 surface spaces dedicated to hotel use. Additional parking allocated from Discovery Park inventory. ","42.3987162287","-71.147070799","POINT (-71.147070799 42.3987162287)"
"390","165 Cambridgepark Drive","Fuse Apartments Phase 2","","165","Cambridgepark Drive","FAR for all project phases.","11 - North Cambridge","Complete","2016","Hines Interests Limited","O-2A/AOD-6","PB272","BLDM-009426-2013","112,000","119,274","2.35","Residential","98",,"FAR for all project phases. ","42.3953600162","-71.147417335","POINT (-71.147417335 42.3953600162)"
"392","131 Harvard Street","131 Harvard Street","","131","Harvard Street","GFA includes underground structured parking. Also BZA #10455.","4 - The Port/Area IV","Complete","2016","Capstone Communities/Sean Hope RE","C-2B","N/A","BLDM-027706-2015","23,342","10,000","2.33","Residential","20",,"GFA includes underground structured parking. Also BZA #10455. ","42.3654741103","-71.093738071","POINT (-71.093738071 42.3654741102999)"
"399","240 Sidney Street","Chroma","","240","Sidney Street","","5 - Cambridgeport","Complete","2016","Dinosaur Capital","SD-8A","PB278","BLDM-018346-2014","96,431","54,130","1.78","Residential","96",," ","42.3568176774","-71.105979217","POINT (-71.1059792169999 42.3568176774)"
"400","35 Cottage Park Avenue","Tyler Green Court Phase 2","","35","Cottage Park Avenue","Affordable units included in Phase 1. FAR for entire development. This phase consists of five two-family structures.","11 - North Cambridge","Complete","2016","Tyler Court Limited Partnership","SD-2","PB276","BLDM-020171-2014","12,200","130,079","0.64","Residential","10",,"Affordable units included in Phase 1. FAR for entire development. This phase consists of five two-family structures. ","42.3984010983","-71.133510933","POINT (-71.1335109329999 42.3984010982999)"
"409","15-33 Richdale Avenue","Hathaway Lofts","","15-33","Richdale Avenue","","9 - Neighborhood 9","Complete","2016","Hathaway Lofts LLC","C-1A","PB284","BLDM-022489-2014","65,384","42,043","1.58","Residential","46",," ","42.3884694858","-71.122293024","POINT (-71.122293024 42.3884694858)"
"410","300 Massachusetts Avenue","University Park - University Park Addition","","300","Massachusetts Avenue","Parking will be provided at existing University Park garage located at 55 Franklin Street.","5 - Cambridgeport","Complete","2016","Forest City Development","CRDD","PB283","BLDC-010858-2014","218,501","50,634","4.30","Office/R&D",,,"Parking will be provided at existing University Park garage located at 55 Franklin Street. ","42.3622847493","-71.098858148","POINT (-71.098858148 42.3622847493)"
"618","192 Raymond Street","192 Raymond Street","","192","Raymond Street","","9 - Neighborhood 9","Complete","2016","Raymond Street Realty Trust","C-2","N/A","BLDM-022666-2015","8,200","6,278","1.30","Residential","8",," ","42.3890463032","-71.128646024","POINT (-71.128646024 42.3890463031998)"
"654","1-3 Langdon Street","Basement Housing","","1-3","Langdon Street","Conversion of existing basement space to residential. Parking requirements waived.  FAR and GAF based on existing structure.","8 - Baldwin","Complete","2016","Chestnut Hill Realty","C-2/B","PB290","BLDM-029678-2015","26,892","16,380","2.80","Residential","5",,"Conversion of existing basement space to residential. Parking requirements waived.  FAR and GAF based on existing structure. ","42.380915","-71.120269","POINT (-71.1202689999999 42.380915)"
"360","50/60 Binney Street","Alexandria PUD - 50/60 Binney Street","","50/60","Binney Street","Garage totals 899 spaces with 421 allocated to 50/60 Binney Street, 302 to 215 First Street, 136 to 100 Binney Street, 15 to 41 Linsky Way, and 25 to 161 First Street.","1 - East Cambridge","Complete","2017","Alexandria Real Estate","IA-1/PUD-3A","PB243","BLDC-018436-2014","467,512","63,844","7.59","Office/R&D",,,"Garage totals 899 spaces with 421 allocated to 50/60 Binney Street, 302 to 215 First Street, 136 to 100 Binney Street, 15 to 41 Linsky Way, and 25 to 161 First Street. ","42.3649661923","-71.079259478","POINT (-71.0792594779999 42.3649661923)"
"370","100 Binney Street","Alexandria PUD - 100 Binney Street","","100","Binney Street","185 spaces in on-site underground garage and 136 allocated from 50/60 Binney Street garage.","1 - East Cambridge","Complete","2017","Alexandria Real Estate","IA-1/PUD-3A","PB243","BLDC-029720-2015","356,941","54,433","7.12","Office/R&D",,,"185 spaces in on-site underground garage and 136 allocated from 50/60 Binney Street garage. ","42.3651253725","-71.080833431","POINT (-71.080833431 42.3651253725)"
"398","130 Cambridgepark Drive","130 Cambridgepark Drive","","130","Cambridgepark Drive","120 spaces located on-site, 28 dedicated and 68 shared spaces located in 140 Cambridgepark Drive garage.","11 - North Cambridge","Complete","2017","The Hanover Company","O-2A/AOD-6","PB279","BLDM-031440-2015","213,321","102,013","2.10","Residential","213",,"120 spaces located on-site, 28 dedicated and 68 shared spaces located in 140 Cambridgepark Drive garage. ","42.3936697909","-71.145026585","POINT (-71.1450265849999 42.3936697908998)"
"405","1971 Massachusetts Avenue","The Rand at Porter/Miso Block Redevelopment","","1971","Massachusetts Avenue","Includes demolition of existing retail building.","11 - North Cambridge","Complete","2017","Urban Spaces","BC","N/A","BLDM-022573-2015","26,351","14,044","1.81","Residential","20",,"Includes demolition of existing retail building. ","42.390126234","-71.12051184","POINT (-71.12051184 42.390126234)"
"606","79 JFK Street","Harvard JFK School Expansion","","79","JFK Street","FAR includes existing building on-site. 129 spaces to be allocated from Harvard campus pool.","10 - West Cambridge","Complete","2017","Harvard University","C-3","PB293","BLDC-026899-2015","76,862","126,655","2.51","Institutional",,,"FAR includes existing building on-site. 129 spaces to be allocated from Harvard campus pool. ","42.3709835352","-71.121744777","POINT (-71.121744777 42.3709835351998)"
"640","88 Cambridgepark Drive","Parking Garage","","88","Cambridgepark Drive","541 parking spaces for 100, 125, & 150 Cambridgepark Drive, including 94 spaces shared with  on-site residences. Residences in separate phase.","11 - North Cambridge","Complete","2017","McKinnon Company","O-2A/AOD-6","PB292","BLDC-041235-2016","26,800","174,496","1.70","Parking Garage",,,"541 parking spaces for 100, 125, & 150 Cambridgepark Drive, including 94 spaces shared with  on-site residences. Residences in separate phase. ","42.393208","-71.143285","POINT (-71.143285 42.393208)"
"687","3 Brookline Place","Auburn Court Addition","","3","Brookline Place","Infill addition to Auburn Court. FAR includes existing development. Parking provided in existing Auburn Court pool.","5 - Cambridgeport","Complete","2017","HRI","CRDD","N/A","BLDM-047719-2016","11,025","67,745","1.46","Residential","8",,"Infill addition to Auburn Court. FAR includes existing development. Parking provided in existing Auburn Court pool. ","42.36127","-71.10327","POINT (-71.1032699999999 42.3612699999998)"
"295","2 Leighton Street","Avalon Bay North Point - Ava North Point incl. 5 Glassworks Ave.","","2","Leighton Street","FAR includes Phase I building and 10 Glassworks Avenue. Unknown amount of retail space will included in building.","1 - East Cambridge","Complete","2018","Avalon Bay","NP/PUD-6","PB175","BLDM-042391-2016","241,779","247,431","3.77","Residential","265",,"FAR includes Phase I building and 10 Glassworks Avenue. Unknown amount of retail space will included in building. ","42.3703935998","-71.074478637","POINT (-71.0744786369999 42.3703935998)"
"395","262 Msgr. O'Brien Highway","The Ivy Residents","","262","Msgr. O'Brien Highway","","1 - East Cambridge","Complete","2018","YIHE Group","SD-1","N/A","BLDM-030215-2015","64,222","19,078","3.37","Residential","55",," ","42.3734405178","-71.081920854","POINT (-71.081920854 42.3734405177998)"
"605","80-84 Cambridgepark Drive","Luxe at Alewife","","80-84","Cambridgepark Drive","Parking includes 94 spaces shared with nearby office buildings. 121 spaces sited underneath residential structure. Remainder included in separate phase 541 space garage. Formerly 88 Cambridgepark Dr.","11 - North Cambridge","Complete","2018","Hanover","O-2A/AOD-6","PB292","BLDM-051623-2016","292,400","174,496","1.70","Residential","254",,"Parking includes 94 spaces shared with nearby office buildings. 121 spaces sited underneath residential structure. Remainder included in separate phase 541 space garage. Formerly 88 Cambridgepark Dr. ","42.3933390103","-71.143912736","POINT (-71.143912736 42.3933390102998)"
