"Project ID","Project Name","Address","Street Number","Street Name","Map-Lot","Status","Year Complete","Latitude","Longitude","Coordinates"
"375","300 Binney Street/Biogen","17 Cambridge Center","17","Cambridge Center","30-41","Complete","2013","42.366","-71.088","42 3660086155   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-277","Complete","2013","42.3977","-71.1339","42 397724306   "
"366","Holmes Building","622-38 Massachusetts Avenue","622-38","Massachusetts Avenue","106-105","Complete","2013","42.3651","-71.1035","42 365066722   "
"362","119-135 Harvey Street","119-135 Harvey Street","119-135","Harvey Street"," 190-272","Complete","2013","42.3977","-71.1339","42 397724306   "
"317","355 Fresh Pond Parkway","355 Fresh Pond Parkway","355","Fresh Pond Parkway","260-46","Complete","2014","42.3861","-71.1409","42 386107635   "
"615","Vox on 2","223 Concord Turnpike","223","Concord Turnpike","267.1-276","Complete","2014","42.4","-71.1506","42 400003863   "
"274","Broad Institute Expansion","75 Ames Street","75","Ames Street","43-76","Complete","2014","42.3635","-71.088","42 3634729027   "
"406","18 White Street","18 White Street","18","White Street","152-7","Complete","2014","42.3889","-71.1183","42 3888947005   "
"327","Windsor at Cambridge Park","160-180 Cambridgepark Drive","160-180","Cambridgepark Drive","267.4-316","Complete","2014","42.395","-71.1475","42 3950042   "
"389","Avalon Bay North Point - Avalon North Point Lofts","10 Glassworks Avenue","10","Glassworks Avenue","1A-82","Complete","2014","42.3703","-71.0729","42 3702704199998   "
"614","Atmark","80-90 Fawcett Street","80-90","Fawcett Street","267F-392","Complete","2014","42.3912","-71.1459","42 3912099659998   "
"397","Harvard Fogg Museum Addition","32 Quincy Street","32","Quincy Street","136-2","Complete","2014","42.3742","-71.1144","42 3741868979998   "
"331","Pfizer Phase 1/South Building","610 Main Street","610","Main Street","71-56","Complete","2014","42.3618","-71.0944","42 3618402207998   "
"358","40 Norris Street","40 Norris Street","40","Norris Street","192-151","Complete","2014","42.3951","-71.1297","42 395095963   "
"365","EF Building 2 - Offices & Hult Business School","8 Education Street","8","Education Street","1A-172","Complete","2014","42.3696","-71.069","42 3696155885998   "
"316","Phase 2","124 Rindge Avenue","124","Rindge Avenue","195-169","Complete","2014","42.392","-71.13","42 391986686   "
"402","168-174 Hampshire Street","168-174 Hampshire Street","168-174","Hampshire Street","87-37","Complete","2014","42.372","-71.099","42 3720348797   "
"663","Basement Housing","19-21 Wendell Street","19-21","Wendell Street","156-66","Complete","2015","42.3819","-71.1178","42 381906   "
"325","YWCA Site","7 Temple Street","7","Temple Street","107-139","Complete","2015","42.3666","-71.1043","42 3665710542   "
"373","Alexandria PUD - Vivo Apartments","270 Third Street","270","Third Street","16-33","Complete","2015","42.3659","-71.0821","42 3659489241998   "
"604","Fairfield Inn","215 Msgr. O'Brien Highway","215","Msgr. O'Brien Highway","7-115","Complete","2015","42.3729","-71.0797","42 3729443633   "
"326","Conductor's Building","114 Mount Auburn Street","114","Mount Auburn Street","165-57","Complete","2015","42.373","-71.1224","42 3730377011998   "
"334","Zinc","22 Water Street","22","Water Street","7-113","Complete","2015","42.3729","-71.0785","42 3729031239998   "
"356","Lesley University Lunder Arts Center","1801 Massachusetts Avenue","1801","Massachusetts Avenue","153-85","Complete","2015","42.3866","-71.1187","42 386577908   "
"401","Martin Luther King, Jr. School","100 Putnam Avenue","100","Putnam Avenue","122-199","Complete","2015","42.367","-71.1133","42 367030192   "
"234","Cambridge Research Park - Lofts Building","450 Kendall Street","450","Kendall Street","14-43","Complete","2015","42.3634","-71.0815","42 3633954768   "
"619","140 Cambridgepark Drive","140 Cambridgepark Drive","140","Cambridgepark Drive","267.4-319","Complete","2015","42.3939","-71.1462","42 3938775462998   "
"628","Fuse Apartments Phase 1","165 Cambridgepark Drive","165","Cambridgepark Drive","267.4-176","Complete","2015","42.3954","-71.1474","42 3953600162   "
"367","Novartis Expansion","181 Massachusetts Avenue","181","Massachusetts Avenue","71-55","Complete","2015","42.361","-71.0959","42 3610031341998   "
"394","Cambridge Crossing (North Point) - Building N - Twenty/20","20 Child Street","20","Child Street","1A-174","Complete","2015","42.3716","-71.072","42 371614925   "
"385","Acorn Holdings Concord Ave. Phase I","603 Concord Avenue","603","Concord Avenue","267F-298","Complete","2015","42.389","-71.1445","42 3889607389   "
"629","Tyler Green Court Phase 1","35 Cottage Park Avenue","35","Cottage Park Avenue","189-104","Complete","2015","42.3984","-71.1335","42 3984010982999   "
"369","Alexandria PUD - 75/125 Binney Street","75/125 Binney Street","75/125","Binney Street","16-32","Complete","2015","42.3658","-71.0807","42 365799477   "
"312","First Street PUD - Axiom Cambridge","159 First Street","159","First Street","16-6","Complete","2015","42.3661","-71.0784","42 3661407135   "
"383","Discovery Park - 600 Discovery Park/AC Hotel by Marriott","10 Acorn Park Drive","10","Acorn Park Drive","267.2-264","Complete","2016","42.3987","-71.1471","42 3987162287   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-163","Complete","2016","42.3623","-71.0989","42 3622847493   "
"378","Pfizer Phase 2/North Building","610 Main Street","610","Main Street","71-56","Complete","2016","42.3627","-71.0942","42 3627081479   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-101","Complete","2016","42.3623","-71.0989","42 3622847493   "
"399","Chroma","240 Sidney Street","240","Sidney Street","66-152","Complete","2016","42.3568","-71.106","42 3568176774   "
"329","Kaya Hotel","1924 Massachusetts Avenue","1924","Massachusetts Avenue","178-21","Complete","2016","42.3894","-71.1202","42 3893555901998   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-102","Complete","2016","42.3623","-71.0989","42 3622847493   "
"409","Hathaway Lofts","15-33 Richdale Avenue","15-33","Richdale Avenue","178-122","Complete","2016","42.3885","-71.1223","42 3884694858   "
"392","131 Harvard Street","131 Harvard Street","131","Harvard Street","42-98","Complete","2016","42.3655","-71.0937","42 3654741102999   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-103","Complete","2016","42.3623","-71.0989","42 3622847493   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue","69-149","Complete","2016","42.3623","-71.0989","42 3622847493   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-148","Complete","2016","42.3623","-71.0989","42 3622847493   "
"618","192 Raymond Street","192 Raymond Street","192","Raymond Street","203B-25","Complete","2016","42.389","-71.1286","42 3890463031998   "
"390","Fuse Apartments Phase 2","165 Cambridgepark Drive","165","Cambridgepark Drive","267.4-176","Complete","2016","42.3954","-71.1474","42 3953600162   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-109","Complete","2016","42.3623","-71.0989","42 3622847493   "
"400","Tyler Green Court Phase 2","35 Cottage Park Avenue","35","Cottage Park Avenue","189-104","Complete","2016","42.3984","-71.1335","42 3984010982999   "
"410","University Park - University Park Addition","300 Massachusetts Avenue","300","Massachusetts Avenue"," 69-100","Complete","2016","42.3623","-71.0989","42 3622847493   "
"654","Basement Housing","1-3 Langdon Street","1-3","Langdon Street","173-67","Complete","2016","42.3809","-71.1203","42 380915   "
"370","Alexandria PUD - 100 Binney Street","100 Binney Street","100","Binney Street","15-30","Complete","2017","42.3651","-71.0808","42 3651253725   "
"640","Parking Garage","88 Cambridgepark Drive","88","Cambridgepark Drive","265D-57","Complete","2017","42.3932","-71.1433","42 393208   "
"398","130 Cambridgepark Drive","130 Cambridgepark Drive","130","Cambridgepark Drive","267.4-320","Complete","2017","42.3937","-71.145","42 3936697908998   "
"606","Harvard JFK School Expansion","79 JFK Street","79","JFK Street","164-5","Complete","2017","42.371","-71.1217","42 3709835351998   "
"687","Auburn Court Addition","3 Brookline Place","3","Brookline Place","92-130","Complete","2017","42.3613","-71.1033","42 3612699999998   "
"360","Alexandria PUD - 50/60 Binney Street","50/60 Binney Street","50/60","Binney Street","15-28","Complete","2017","42.365","-71.0793","42 3649661923   "
"405","The Rand at Porter/Miso Block Redevelopment","1971 Massachusetts Avenue","1971","Massachusetts Avenue","179-51","Complete","2017","42.3901","-71.1205","42 390126234   "
