wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
19837711,River Street Bridge (Charles River),https://en.wikipedia.org/wiki/River_Street_Bridge_(Charles_River),42.36123,-71.1167,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.36123,-71.1167
19837806,Western Avenue Bridge,https://en.wikipedia.org/wiki/Western_Avenue_Bridge,42.36422,-71.1169,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.36422,-71.1169
19841643,John W. Weeks Bridge,https://en.wikipedia.org/wiki/John_W._Weeks_Bridge,42.36853,-71.11807,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.36853,-71.11807
21333050,Quincy House (Harvard College),https://en.wikipedia.org/wiki/Quincy_House_(Harvard_College),42.3705,-71.1171,nearest,8.29,1,438-8,438-1,ambiguous,approved,Preserved human approved decision.,,42.3705,-71.1171
21396514,Ragon Institute,https://en.wikipedia.org/wiki/Ragon_Institute,42.364,-71.092,contained,0.00,1,610-5,610-5,strong,approved,Preserved human approved decision.,,42.364,-71.092
21427054,"MIT Campus (Area 2), Cambridge, Massachusetts","https://en.wikipedia.org/wiki/MIT_Campus_(Area_2),_Cambridge,_Massachusetts",42.35975,-71.09205555555555,contained,0.00,1,668-10,668-10,strong,rejected,Preserved human rejected decision.,,42.35975,-71.09205555555555
21427114,Wellington-Harrington,https://en.wikipedia.org/wiki/Wellington-Harrington,42.3725,-71.09194444444444,nearest,2.66,1,397-14,397-14,ambiguous,rejected,Preserved human rejected decision.,,42.3725,-71.09194444444444
21427284,Mid-Cambridge,https://en.wikipedia.org/wiki/Mid-Cambridge,42.372638888888886,-71.10965277777777,nearest,3.97,1,399-13,399-13,ambiguous,rejected,Preserved human rejected decision.,,42.372638888888886,-71.10965277777777
21427333,"Riverside, Cambridge","https://en.wikipedia.org/wiki/Riverside,_Cambridge",42.367777777777775,-71.11472222222221,nearest,8.24,1,532-24,532-24,ambiguous,rejected,Preserved human rejected decision.,,42.367777777777775,-71.11472222222221
21427437,"Baldwin, Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Baldwin,_Cambridge,_Massachusetts",42.38361111111111,-71.11611111111111,nearest,10.15,1,193-2,193-2,ambiguous,rejected,Preserved human rejected decision.,,42.38361111111111,-71.11611111111111
21427610,West Cambridge (neighborhood),https://en.wikipedia.org/wiki/West_Cambridge_(neighborhood),42.37777777777778,-71.13027777777778,nearest,14.30,1,285-7,285-7,ambiguous,rejected,Preserved human rejected decision.,,42.37777777777778,-71.13027777777778
21427761,"North Cambridge, Massachusetts","https://en.wikipedia.org/wiki/North_Cambridge,_Massachusetts",42.395833333333336,-71.13,nearest,6.78,1,999-3044,999-3044,ambiguous,rejected,Preserved human rejected decision.,,42.395833333333336,-71.13
21427816,Cambridge Highlands,https://en.wikipedia.org/wiki/Cambridge_Highlands,42.390277777777776,-71.15083333333334,contained,0.00,1,46-48,46-48,strong,rejected,Preserved human rejected decision.,,42.390277777777776,-71.15083333333334
21427840,"Strawberry Hill, Cambridge","https://en.wikipedia.org/wiki/Strawberry_Hill,_Cambridge",42.37777777777778,-71.15194444444445,contained,0.00,1,279-2,279-2,strong,rejected,Preserved human rejected decision.,,42.37777777777778,-71.15194444444445
