building_id,hail_address,hail_street_name,classification,construction_year,match_stage,match_status,treatment,candidate_address_point_count,candidate_bldgid_count,candidate_bldgids,candidate_addresses,candidate_street_names,matched_bldgid,matched_bldgids,match_reason,review_reason_category,review_reason_summary,override_decision,override_note,override_reviewed_at,pre_override_match_stage,pre_override_match_status,pre_override_matched_bldgid,pre_override_matched_bldgids,pre_override_candidate_bldgids
green-st_695,695 Green Street,Green Street,"Addition, rear, or secondary building",1987,7,review,manual_review_loose_address_proximity,4,1,476-5,698 Green St|701 Green St|702 Green St|703 Green St,Green St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (476-5: Δ3 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
green-st_697-699,697-699 Green Street,Green Street,Current building,1889,7,review,manual_review_loose_address_proximity,4,1,476-5,698 Green St|701 Green St|702 Green St|703 Green St,Green St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (476-5: Δ1 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_5-15r,5-15r Hampshire Street,Hampshire Street,"Addition, rear, or secondary building",1999,7,review,manual_review_loose_address_proximity,1,1,999-4108,1 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-4108: Δ4 house numbers, 3.3 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_21_2,21 Hampshire Street,Hampshire Street,Current building,1915,7,review,manual_review_loose_address_proximity,1,1,568-7,30 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-7: Δ9 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_24,24 Hampshire Street,Hampshire Street,Current building,1939,7,review,manual_review_loose_address_proximity,1,1,568-7,30 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-7: Δ6 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_25r,25r Hampshire Street,Hampshire Street,"Addition, rear, or secondary building",1892,7,review,manual_review_loose_address_proximity,1,1,568-7,30 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-7: Δ5 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_26,26 Hampshire Street,Hampshire Street,Current building,1903,7,review,manual_review_loose_address_proximity,1,1,568-7,30 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-7: Δ4 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_29,29 Hampshire Street,Hampshire Street,Current building,1886,7,review,manual_review_loose_address_proximity,1,1,568-7,30 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-7: Δ1 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_40_2,40 Hampshire Street,Hampshire Street,Current building,1929,7,review,manual_review_loose_address_proximity,2,2,568-1|568-7,30 Hampshire St|50 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (568-1: Δ10 house numbers, 15.4 m, 568-7: Δ10 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_129_2,129 Hampshire Street,Hampshire Street,Current building,,7,review,manual_review_loose_address_proximity,8,4,385-50|999-535|999-570|999-573,122 Hampshire St|124 Hampshire St|125 Hampshire St|126 Hampshire St|134 Hampshire St|134-1/2 Hampshire St|136 Hampshire St|139 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (385-50: Δ10 house numbers, 17.0 m, 999-535: Δ3 house numbers, 6.6 m, 999-570: Δ4 house numbers, 19.4 m, 999-573: Δ5 house numbers, 11.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_153,153 Hampshire Street,Hampshire Street,"Addition, rear, or secondary building",1938,7,review,manual_review_loose_address_proximity,9,6,381-10|381-15|381-20|385-50|403-14|999-656,143 Hampshire St|147 Hampshire St|150 Hampshire St|157 Hampshire St|159 Hampshire St|161 Hampshire St|163 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (381-10: Δ6 house numbers, 0.0 m, 381-15: Δ6 house numbers, 0.0 m, 381-20: Δ6 house numbers, 0.0 m, 385-50: Δ10 house numbers, 0.0 m, 403-14: Δ4 house numbers, 15.4 m, 999-656: Δ3 house numbers, 13.7 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hampshire-st_169,169 Hampshire Street,Hampshire Street,Current building,1894,7,review,manual_review_loose_address_proximity,7,2,403-1|403-14,159 Hampshire St|161 Hampshire St|163 Hampshire St|165 Hampshire St|167 Hampshire St|171 Hampshire St|173 Hampshire St,Hampshire St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (403-1: Δ2 house numbers, 0.0 m, 403-14: Δ4 house numbers, 15.4 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
hancock-st_12,12 Hancock Street,Hancock Street,Current building,1925,7,review,manual_review_loose_address_proximity,1,1,999-3445,2 Hancock St,Hancock St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (999-3445: Δ10 house numbers, 18.3 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
harris-st_13,13 Harris Street,Harris Street,Current building,,7,review,manual_review_loose_address_proximity,9,4,176-3|176-8|999-2057|999-3693,15 Harris St|19 Harris St|20 Harris St|21 Harris St|22 Harris St|3 Harris St|5 Harris St|7 Harris St|8 Harris St,Harris St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (176-3: Δ6 house numbers, 0.0 m, 176-8: Δ2 house numbers, 0.0 m, 999-2057: Δ9 house numbers, 10.7 m, 999-3693: Δ5 house numbers, 9.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
harvard-st_245_2,245 Harvard Street,Harvard Street,Current building,1992,7,review,manual_review_loose_address_proximity,1,1,520-1,243 Harvard St,Harvard St,,,"Same-street Address Point is within 10 house numbers; nearby unclaimed footprint may use this or a cross-street canonical address (520-1: Δ2 house numbers, 0.0 m)",loose_address_near_unclaimed_footprint,"A same-street Address Point is within 10 house numbers, and a nearby footprint with no accepted Hail match is proposed; its canonical address may be on a cross street.",,,,,,,,
